ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Required General Education,,, Take One Course,Choose3 - 4 Credit(s).,SOC,101,Introduction to Sociology,4,,,Purple,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Required General Education,,, Take One Course,Choose3 - 4 Credit(s).,SOC,150,Social Problems,4,,,Purple,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Common Core,,,,,SOC,202,Introductory Social Statistics,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Common Core,,,,,SOC,301W,Social Research I,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Common Core,,,,,SOC,458,Sociological Theory,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Career Connections May retake different workshop for credit,Choose  4 Credit(s).,SOC,490,Workshop,1-3,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Career Connections May retake different workshop for credit,Choose  4 Credit(s).,SOC,497,Internship: Sociology,1-12,Consent ,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Research Capstone Electives Take One Course,Choose  4 Credit(s).,SOC,469,Survey Research,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Research Capstone Electives Take One Course,Choose  4 Credit(s).,SOC,480,Qualitative Methods,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Research Capstone Electives Take One Course,Choose  4 Credit(s).,SOC,493,Community Engaged Research,4,SOC 301W or equivalent; Senior Standing. ,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theoretical Electives Take One Course,Choose  4 Credit(s).,SOC,351,Social Psychology,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theoretical Electives Take One Course,Choose  4 Credit(s).,SOC,463,Social Stratification,4,,,Purple,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,600,Proseminar,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,603,Seminar: Social Psychology,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,604,Seminar: Social Statistics,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,605,Seminar: Social Research,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,606,Seminar in Sociological Theory,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,608,Seminar in Social Inequality,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,602,Seminar: Social Organization,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Common Core,,,,,SOC,610,Teaching Sociology at the College Level,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Restricted Electives,,, ,Choose3 - 6 Credit(s).,SOC,696,Internship: College Teaching,1-6,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Research/Methods Course(s),,,,,SOC,605,Seminar: Social Research,3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Capstone Course,,,Choose Thesis or APP ,Choose1 - 3 Credit(s).,SOC,694,Alternate Plan Paper,1-2,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Capstone Course,,,Choose Thesis or APP ,Choose1 - 3 Credit(s).,SOC,699,Thesis,1-3,,,,
Sociology,MA,Sociology - MA,60,33,Graduate,2024-2025,Capstone Course,,, ,Choose  3 Credit(s).,SOC,699,Thesis,1-3,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,208,Families in Society,4,,,Purple,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,209,Sociology of Human Sexualities,4,,,Purple,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,214W,Animals and Society,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,241,Social Deviance,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,255,Juvenile Delinquency,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,285,Selected Topics in Sociology,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,285W,Selected Topics in Sociology,4,,,,
Sociology,BS,Sociology - BS,166,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Take 3 Courses At least 2 courses (or 8 credits) must be taken at 300-499 level; Courses cannot double count in the major,Choose11 - 12 Credit(s).,SOC,307,Sex & Gender in Contemporary Society,4,,,,
