ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Required General Education,,,Communications 2 ,Choose3 - 4 Credit(s).,COMM,102,Public Speaking,3,,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Required General Education,,,Communications 2 ,Choose3 - 4 Credit(s).,ENG,271W,Technical Communication,4,ENG 101 ,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Required General Education,,,Economics ,Choose  3 Credit(s).,ECON,201,Principles of Macroeconomics,3,,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Required General Education,,,Economics ,Choose  3 Credit(s).,ECON,202,Principles of Microeconomics,3,,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,280,Discrete Mathematics for Computer Science I,4,MATH 121 with “C” (2.0) or better or consent.,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,380,Discrete Mathematics for Computer Science II,4,MATH 247 and MATH 280 with a grade of “C” (2.0) or better,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,"Science Electives A minimum of 8 credits is required for Science Electives. Science Electives can be chosen from: BIOL 105, BIOL 106, CHEM 201, CHEM 202, GEOL 121, GEOL 122, PHYS 221, PHYS 222+232, PHYS 223+233, or any 300+ level course in BIOL, CHEM, GEO",Choose8 - 10 Credit(s).,BIOL,105,General Biology I,4,,,,
Software Engineering,BS,Software Engineering - BS,202423195,128,Undergraduate,2024-2025,Prerequisites to the Major,,,"Science Electives A minimum of 8 credits is required for Science Electives. Science Electives can be chosen from: BIOL 105, BIOL 106, CHEM 201, CHEM 202, GEOL 121, GEOL 122, PHYS 221, PHYS 222+232, PHYS 223+233, or any 300+ level course in BIOL, CHEM, GEO",Choose8 - 10 Credit(s).,BIOL,106,General Biology II,4,,,,
