ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,580,Graduate Seminar,1,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,590,Project,1,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,620,Dance Somatics,2,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,624,Dance Pedagogy,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,625,Worlds of Dance,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,632,Dance Improvisation,2,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,DANC,684,Dance History,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Dance Core Must take DANC 580 2 times.,,THEA,681,Theory and Criticism in the Performing Arts,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,530,Theatre Management,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,540,Scene Design I,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,570,Lighting Design I,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,581,History of Western Theatre,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,582,Perspectives in World Performance,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,585,Theatre Dramaturgy,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,638,Director/Designer Communication Seminar,1,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,675,Portfolio Seminar,1,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Design/Production Core ,,THEA,681,Theory and Criticism in the Performing Arts,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Performance Core ,,THEA,514,Stage Dialects,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Performance Core ,,THEA,526,Stage Combat,2,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Performance Core ,,THEA,581,History of Western Theatre,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Performance Core ,,THEA,582,Perspectives in World Performance,3,,,,
Theatre and Dance,MFA,Theatre and Dance - MFA,100,60,Graduate,2024-2025,Common Core,,,Theatre Performance Core ,,THEA,612,Advanced Theatre Speech,3,,,,
