ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,501,Foundations in Urban Management and Planning,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,502,Urban Analysis,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,602,Planning Process,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,604,Planning Law,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,661,Long Range & Strategic Planning,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,662,Planning the Built Enrironment,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Common Core,,,,,URBS,696,Internship,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,513,Urban Program Evaluation,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,515,Urban Housing Policy,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,531,Urban Design Principles,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,537,Urban Heritage Preservation,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,538,Historic Preservation: Policy and Field Methods,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,557,Economic Development,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,561,Environmental Planning,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Restricted Electives,,, ,Choose  9 Credit(s).,URBS,571,Urban Transportation,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Research/Methods Course(s),,,,,URBS,600,Research Methods,3,,,,
Urban Planning,MA,Urban Planning - MA,2512,36,Graduate,2024-2025,Capstone Course,,,,,URBS,668,Urban Studies Studio,3,,,,
