Tranche: 1 (This includes the 44 from last semester),,Tranche:  2,,Tranche:  3
RN Baccalaureate Completion - BS,,Urban and Regional Studies - BS,,Philosophy - BA
Psychology - BS,,Special Education: Learning Disabilities - GC,,Curriculum and Technology - GC
Management - BS,,Geospatial Science - BS,,Health Informatics - BS
Marketing - BS,,Communication and Composition - MS,,English: Creative Writing - BFA
Finance - BS,,American Sign Language - CERT,,Internet of Things - CERT
Nursing - BS,,Dance - BS,,Advanced Dental Therapy - MS
Biology - BS,,Special Education: Emotional/Behavioral Disorders - GC,,Cultural Diversity - GC
Elementary Education - BS,,Engineering Management - PSM,,French - BA
Accounting - BS,,Biotechnology - BS,,Automotive Engineering Technology - MS
Aviation - BS,,Electrical and Computer Engineering - MS,,Post Bac  Communication Sciences & Disorders - CERT
Communication and Media - BS,,School Psychology - MS,,Urban Planning - GC
Liberal Arts and Sciences - AA,,Electronic Engineering Technology - BS,,Engineering - MS
Computer Information Technology - BS,,Anthropology - BS,,English Literature - BA
Social Work - BSSW,,Mathematics Teaching - BS,,Chemistry - BA
Dental Hygiene - BS,,Statistics - BS,,French - MS
Exercise Science - BS,,English Studies - BA,,American Indigenous Studies - BS
Policing Studies - BS,,Special Education: Developmental Disabilities - GC,,Health Informatics & Analytics - PSM
Construction Management - BS,,Theatre Arts - BS,,Cyber Risk Analysis - GC
Sport Management - BS,,Experimental Psychology - CERT,,History - MA
Educational Leadership - SPEC,,Political Science - BA,,Health Informatics - CERT
Family Consumer Science - BS,,Art - BA,,Sociology Corrections - MS
Applied Leadership - BS,,Computer Science - BS,,"Philosophy, Politics and Economics - BA"
Integrated Engineering - BSE,,Graphic Design - CERT,,Policing Studies - CERT
Special Education - MS,,Computer Engineering Technology - BS,,Physics Teaching - BS
Mechanical Engineering - BSME,,Educational Technology in the Classroom - GC,,German - BA
Communication Sciences and Disorders - BS,,Spanish for the Professions - MS,,Dance - BA
Special Education: Academic and Behavioral Strateg - BS,,History - GC,,Environmental Science - MS
Communication Sciences and Disorders - MS,,Racially Conscious School and Systems Leadership - GC,,Interdisciplinary Humanities - BA
Alcohol and Drug Studies - BS,,Applied Statistics - MS,,Forensics & Communication - MFA
Civil Engineering - BSCE,,Geology - BS,,Gender and Women's Studies - BA
Counseling and Student Personnel - MS,,Earth Science - BS,,Social Studies - BS
Recreation and Parks Leadership Studies - BS,,Nursing Practice (from MSN) - DNP,,Gender and Women's Studies - GC
Interdisciplinary Studies - BS,,Sociology - MA,,Mathematics - BA
Art - BFA,,Geography - MS,,Edu Tech for Adult and Prof Learners - GC
Social Work - MSW,,Geography - BS,,English Literature - GC
Accounting - MACC,,Urban Planning - MA,,Cross-Disciplinary Studies - MS
Criminal Justice - BS,,School Library and Information Studies - MS,,Environmental Geology - CERT
Public Relations - BS,,Theatre and Dance - MFA,,Agricultural Sciences - BS
English - MA,,School Psychology - PSYD,,Sociology - BA
Educational Leadership - MS,,English - BA,,Agribusiness and Food Innovation - BS
Applied Health Science - BS,,Applied Health Science - MS,,Developmental Adapted Physical Education - GC
Reading - GC,,History - MS,,American Indigenous Studies - BA
Business Administration - BBA,,Sport Management - MS,,Teaching English as a Foreign Language - CERT
Business Administration - MBA,,Applied Anthropology - MS,,Chemistry Teaching - BS
Electrical Engineering - BSEE,,Database Technology - GC,,Long-Term Care Administration - CERT
Integrated Business Experience - CERT,,Manufacturing Engineering Technology - MS,,American Indigenous Studies - CERT
Taxation - GC,,Physics - BS,,Dance Education (K-12) - BS
Automotive Engineering Technology - BS,,Ethnic and Multi-Cultural Studies - MS,,Geography - BA
History - BS,,Art - MA,,Long-Term Care Administration - GC
Elementary Education STEM - CERT,,Family Consumer Science Education - GC,,Geographic Information Science - PSM
Elementary Education - MS,,Spanish Teaching - BS,,Health Communication - BS
Political Science - BS,,"Child, Youth, and Family Services - CERT",,Aging Studies - GC
Business Analytics - CERT,,Communication and Media - MA,,Theatre Arts - MA
Reading - MS,,"Instructional Design and Educational Technology
 - GC",,Quality Management Systems - GC
Information Technology - MS,,Chemistry - BS,,"FCS-Child Development & Family Studies
 - BS"
Social Studies Teaching - BS,,Technical Communication - MS,,Integrated Communication - BS
