Course Number,Course Name,Credit Count,Prerequisites,Color Group
ACCT,200 Financial Accounting,3,MATH 112 or MATH 115 or MATH 121 or MATH 130 or,N/A
ACCT,210 Managerial Accounting,3,ACCT 200,N/A
ACCT,300 Intermediate Financial Accounting I,3,ACCT 200,N/A
ACCT,301 Intermediate Financial Accounting II,3,ACCT 300,N/A
ACCT,310 Management Accounting I,3,"ACCT 200, ACCT 210",N/A
ACCT,320 Accounting Analytics and Information Systems,3,N/A,N/A
ACCT,330 (3.00) Individual Income Tax,3,"ACCT 200, ACCT 210",N/A
ACCT,398 CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op,N/A
ACCT,400 Advanced Financial Accounting,3,ACCT 301,N/A
ACCT,410 Business Income Tax,3,"ACCT 300, ACCT 330",N/A
ACCT,421 Assurance Services I,3,ACCT 300,N/A
ACCT,492 Study Tour,1-3,N/A,N/A
ACCT,497 Internship,1-6,N/A,N/A
ACCT,499 Individual Study of Accounting,1-4,N/A,N/A
GERO,200 Family Dynamics of Aging,3,N/A,Gold
GERO,200W (3.00) Family Dynamics of Aging,3,N/A,Gold
GERO,398 CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor,N/A
Prerequisites:,At least 60 credits earned; in good,standing;,N/A,N/A
GERO,450 Innovations in Aging Policy,3,N/A,N/A
GERO,480 Long-Term Care Administration,3,N/A,N/A
GERO,485 Topics in Gerontology,1-3,N/A,N/A
GERO,487 Long-Term Care Regulatory Management,3,N/A,N/A
GERO,490 Workshop,1-3,N/A,N/A
GERO,491 In-Service,1-6,N/A,N/A
GERO,497 Internship,1-6,Consent,N/A
GERO,498 Practicum: Nursing Home Administration,1-6,by application and consent only,N/A
GERO,499 Individual Study in Gerontology,1-4,N/A,N/A
AGBZ,110 Agronomy Selling Skills,3,N/A,N/A
AGBZ,111 Introduction to Agriculture Economics,3,N/A,N/A
AGBZ,315 Agronomy Finance Management,4,N/A,N/A
AGBZ,330 AgriBusiness & Food Supply Chain,Management3,N/A,N/A
AGBZ,340 Commodity Marketing Principles,3,N/A,N/A
AGBZ,345 Commodity Marketing Strategies,2,N/A,N/A
AGBZ,350 Agribusiness Transfer & Law,3,N/A,N/A
AGBZ,370 AgriBusiness Finance,3,N/A,N/A
AGBZ,371 Agricultural Technology Seminar,2,N/A,N/A
AGBZ,492 Study Tour,1-3,N/A,N/A
AGBZ,496 Internship,1-4,N/A,N/A
AIS,101 Introduction to American Indigenous Studies,3,N/A,N/A
AIS,112 Elementary Ojibwe I,4,N/A,Purple
AIS,113 Elementary Ojibwe II,4,N/A,Purple
AIS,130 Introduction to Indigenous Education,3,N/A,Purple
AIS,210W Oral Traditions,3,N/A,Purple
AIS,211 Native America to 1900,3,N/A,Purple
AIS,212 Native America 1900 to Present,3,N/A,N/A
AIS,220W Introduction to Tribal Sovereignty,3,N/A,Purple
AIS,230W American Indians of Minnesota,3,N/A,N/A
AIS,240W American Indian Women,3,N/A,N/A
AIS,275 Selected Topics,3,N/A,N/A
AIS,300W American Indian Leaders,3,N/A,Purple
AIS,330 Indigenous Education,3,N/A,Purple
AIS,340 American Indians in Film,3,N/A,N/A
AIS,360 Indigenous Peoples and Environmental Struggles,3,N/A,Purple
AIS,380 The Sacred Landscape,3,N/A,Purple
AIS,398 CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor,N/A
AIS,455 Museum Science and Representation,3,N/A,Gold
AIS,460 Behaving Like Relatives,3,N/A,Gold
AIS,475 Selected Topics,3,N/A,N/A
AIS,485 Workshop,1-6,N/A,N/A
AIS,497 Internship,1-12,N/A,Gold
AIS,499 Individual Study,1-6,N/A,N/A
ANTH,101 Introduction to Anthropology,4,N/A,Purple
ANTH,102 Ancient Peoples,4,N/A,N/A
ANTH,120 Forensic Science: An Anthropological,Approach4,N/A,N/A
ANTH,210 Introduction to Archaeology,4,N/A,N/A
ANTH,220 Human Origins,4,N/A,N/A
ANTH,230 Peoples and Cultures of the World,4,N/A,Purple
ANTH,240 Language and Culture,4,N/A,N/A
ANTH,245 The Social Life of Swearing,4,N/A,Purple
ANTH,250W Portraits of Culture,4,N/A,Purple
of,Fear,4,N/A,Purple
Body,Art,4,N/A,Purple
ANTH,269 Anthropology of Sex,4,N/A,Purple
ANTH,280 Engaged Anthropology,3,"ANTH 101, ANTH 230, or instructor Permission.",Gold
ANTH,285 Special Topics,1-3,N/A,N/A
ANTH,290 Exploratory Studies,1-3,Consent,N/A
ANTH,300 Introduction to Anthropology Methods,4,ANTH 101,N/A
ANTH,311 Ancient Egypt,4,N/A,N/A
ANTH,323 Primate Behavior,4,ANTH 101 or ANTH 220 or consent,N/A
ANTH,331 Environmental Anthropology,4,N/A,N/A
ANTH,332 Anthropology of Religion,4,N/A,Purple
ANTH,333 Ethnographic Film,3,N/A,N/A
ANTH,335 People and Cultures of Sub-Saharan Africa,4,N/A,N/A
ANTH,340 Language and Power,4,N/A,Purple
ANTH,360 Business Anthropology,4,N/A,N/A
ANTH,361 Foodways,4,N/A,Purple
ANTH,398 CPT: Co-Operative Experience,0,At least 60 credits earned; in good standing; instructor,N/A
ANTH,410 Archaeology of Minnesota,4,N/A,N/A
ANTH,411 Archaeology of Native North America,4,N/A,N/A
ANTH,412 Archaeology of Latin America,4,N/A,N/A
ANTH,414 Museology,4,N/A,N/A
ANTH,415 Cultural Resource Management,4,"ANTH 101, ANTH 210 or consent",N/A
ANTH,416 Archeological Methods,4,N/A,N/A
ANTH,417 Quaternary Environments and Climatic Change,4,"GEOG 101, ANTH 210; Students are strongly encouraged to",N/A
ANTH,418 Agricultural Systems and Environmental,Change4,N/A,N/A
ANTH,420 Human Osteology,4,N/A,N/A
ANTH,"421W Health, Culture, and Disease",4,N/A,N/A
ANTH,422 Forensic Anthropology,4,ANTH 420,N/A
ANTH,424 Bioarchaeology,4,N/A,N/A
ANTH,425W Anthropology of Death,4,N/A,N/A
ANTH,430 Peoples and Cultures of Latin America,4,"ANTH 101, ANTH 230, or consent",N/A
ANTH,431 Applied Cultural Research,3,"ANTH 101, ANTH 230, or consent; ETHN 100, ETHN 101,",N/A
ANTH,"432 Kinship, Marriage and Family",3,N/A,N/A
ANTH,433 Anthropology of Gender,4,"ANTH 101, ANTH 230, or consent",N/A
ANTH,436W Anthropology of Aging,4,"ANTH 101, ANTH 230, or ANTH 220, or consent",Purple
ANTH,437 Applied Anthropology,4,"ANTH 101, ANTH 230 or consent",N/A
ANTH,438W Anthropological Theory,4,N/A,N/A
ANTH,439 Qualitative Research Methods,4,"ANTH 101, ANTH 220 or consent",N/A
ANTH,440 Native American Cultures of North America,4,N/A,N/A
ANTH,443W People and Cultures of East Asia,4,N/A,N/A
ANTH,475 Senior Thesis,3,ANTH 300,N/A
ANTH,480 Fieldwork: Archaeology/Ethnology,3-6,"Consent, or one of: ANTH 101, ANTH 102, or ANTH 220",N/A
ANTH,485 Topics in Anthropology,1-3,N/A,N/A
ANTH,486 Workshop,1-3,Depends on topic and instructor,N/A
ANTH,491 Archaeology Laboratory,1-3,N/A,N/A
ANTH,492 Biological Anthropology Lab,1-3,Consent,N/A
ANTH,493 Ethnology Lab,1-3,Consent,N/A
ANTH,494 Linguistic Lab,1-3,N/A,N/A
ANTH,497 Internship,1-12,Consent,N/A
ANTH,498 Internship: Teaching Anthropology,1-3,N/A,N/A
ANTH,499 Individual Study,1-6,Consent,N/A
AOS,101 Preparing for Leadership Careers,3,N/A,N/A
AOS,301 Introduction to Applied Leadership,3,N/A,N/A
AOS,320 Applied Leadership Communication Workshop,3,N/A,N/A
