Course Number,Department,Credit Count
Accelerated,Accounting,CERT
Agribusiness,and Food Innovation,BS
Agricultural,Sciences,BS
Alcohol,and Drug Studies,BS
American,Indigenous Studies,BA
American,Indigenous Studies,BS
American,Indigenous Studies,CERT
American,Sign Language,CERT
Applied,Health Science,BS
Applied,Health Science,BS
Applied,Health Science,BS
Applied,Health Science,BS
Applied,Health Science,BS
Applied,Leadership,BS
Art,History,BA
Art,Teaching,BS
Athletic,Training,Pre-Athletic Training
Automotive,Engineering Technology,BS
Business,Administration,BBA
Business,Analytics,CERT
Business,Law,CERT
Chemistry,- ACS Approved,BS
Chemistry,Teaching,BS
"Child,","Youth, and Family Services",CERT
Civil,Engineering,BSCE
Clinical,and Diagnostic Sciences,BS
Clinical,and Diagnostic Sciences,BS
Clinical,and Diagnostic Sciences,BS
Cognitive,Science,BS
Cognitive,Science,BS
Cognitive,Science,BS
Cognitive,Science,BS
Communication,and Media,BS
Communication,Arts and Literature - Education,BS
Communication,Sciences and Disorders,BS
Community,Health Worker,CERT
Computer,Application Development,BAS
Computer,Engineering,BSEC
Computer,Engineering Technology,BS
Computer,Information Technology,BS
Computer,Science,BS
Construction,Management,BS
Creative,Writing,BA
Criminal,Justice,BS
Critical,Thinking,CERT
Database,Technologies,CERT
Dental,Hygiene,BS
Dental,Hygiene Post Licensure,BS
Earth,Science,BS
Earth,Science Teaching,5-12
Electrical,Engineering,BSEE
Electronic,Engineering Technology,BS
Elementary,Education,BS
Elementary,Education STEM,CERT
English,Studies,BA
Entrepreneurship,and Innovation,CERT
Environmental,Geology,CERT
Environmental,Science,BS
Ethnic,Studies,BS
Ethnic,Studies,BS
Ethnic,Studies,BS
Ethnic,Studies,BS
Ethnic,Studies,BS
Exercise,Science,BS
Exercise,Science,BS
Experimental,Psychology,CERT
Family,Consumer Science Education,BS
FCS-Child,Development & Family Studies,BS
Film,and Media Studies,BA
Food,Science Technology,BS
French,Teaching,BS
Gender,and Women’s Studies,BA
Gender,and Women’s Studies,BS
Geographic,Information Science,CERT
Geomorphology,and Earth Surface Processes,CERT
Geospatial,Science,BS
German,Teaching,BS
Graphic,Design,CERT
Health,and Physical Education,BS
Health,Communication,BS
Health,Informatics,BS
Health,Informatics,CERT
HVAC&R,Engineering Design,CERT
Information,Security,CERT
Integrated,Business Experience,CERT
Integrated,Engineering,BSE
Integrated,Science and Technology,BS
Interdisciplinary,Humanities,BA
Interdisciplinary,Studies,BS
International,Business,BS
International,Relations,BA
Internet,of Things,CERT
Liberal,Arts and Sciences,AA
Life,Science Teaching,5-12
Management,Information Systems,BS
Manufacturing,Engineering Technology,BS
Mathematics,Teaching,BS
Mechanical,Engineering,BSME
Media,Studies,BA
