Course Number,Course Name,Credit Count,Prerequisites
BIOL 201,Anatomy and Physiology 1,4,
BIOL 330,Principles of Human Physiology,4,
PSYC 101,Introduction to Psychological Science,4,
PSYC 343,Introduction to Developmental Psychology,4,
PSYC 455,Abnormal Psychology,4,
BIOL 201,Anatomy and Physiology 1,4,
KSP 235,Human Development,3,
BIOL 105,General Biology I,4,
BIOL 106,General Biology II,4,
BIOL 201,Anatomy and Physiology 1,4,
PHYS 211,Principles of Physics I,4,
PHYS 212,Principles of Physics II,4,
MATH 112,College Algebra,4,
STAT 154,Elementary Statistics,4,
CHEM 201,General Chemistry I,5,
CHEM 202,General Chemistry II,5,
PSYC 101,Introduction to Psychological Science,4,
KSP 235,Human Development,3,
PSYC 455,Abnormal Psychology,4,
SOC 101,Introduction to Sociology,4,
HLTH 321,Medical Terminology,3,
